text,label
"Это ужасно, ничего не работает",negative
"Очень разочарован сервисом",negative
"Отвратительное качество",negative
"Постоянные ошибки",negative
"Очень плохой опыт",negative
"Никому не советую",negative
"Всё сломано",negative
"Поддержка ужасная",negative
"Приложение постоянно падает",negative
"Это худший сервис",negative
"Работает очень плохо",negative
"Совсем не понравилось",negative
"Ужасный интерфейс",negative
"Потратил время зря",negative
"Очень неудобно",negative
"Полный провал",negative
"Сервис не работает",negative
"Разочарование",negative
"Очень плохо сделано",negative
"Постоянные баги",negative
"Невозможно пользоваться",negative
"Качество ужасное",negative
"Очень неудобный сервис",negative
"Ничего не понятно",negative
"Всё тормозит",negative
"Очень медленно работает",negative
"Это кошмар",negative
"Ужасный опыт",negative
"Не рекомендую",negative
"Очень плохо",negative
"Сервис сломан",negative
"Постоянно вылетает",negative
"Это провал",negative
"Работает нестабильно",negative
"Очень разочарован",negative
"Сервис ужасный",negative
"Не понравилось",negative
"Очень плохо реализовано",negative
"Невозможно работать",negative
"Постоянные проблемы",negative
"Сделано ужасно",negative
"Очень неудобный интерфейс",negative
"Качество низкое",negative
"Это ужас",negative
"Сервис глючит",negative
"Очень плохо работает",negative
"Полный бардак",negative
"Не стоит своих денег",negative
"Очень сыро",negative
"Разочаровал",negative
"Работает через раз",negative
"Плохо оптимизировано",negative
"Сервис лагает",negative
"Это худшее приложение",negative
"Очень неприятный опыт",negative
"Всё зависает",negative
"Невозможно нормально использовать",negative
"Постоянно ошибки",negative
"Очень криво сделано",negative
"Сервис подвёл",negative
"Крайне плохо",negative
"Не работает как надо",negative
"Очень нестабильно",negative
"Это не работает",negative
"Плохой продукт",negative
"Очень разочаровывает",negative
"Работает ужасно",negative
"Сервис не оправдал ожиданий",negative
"Очень плохое качество",negative
"Это катастрофа",negative
"Сервис не понравился",negative
"Очень много багов",negative
"Работает отвратительно",negative
"Очень сырое решение",negative
"Никакого удобства",negative
"Очень плохо оптимизировано",negative
"Сервис тормозит",negative
"Очень неудобно пользоваться",negative
"Просто ужас",negative
"Очень плохой сервис",negative
"Ничего не работает нормально",negative
"Очень неприятно",negative
"Сервис ужасно работает",negative
"Очень плохой интерфейс",negative
"Всё работает плохо",negative
"Очень разочаровал продукт",negative
"Сервис постоянно лагает",negative
"Очень плохо всё",negative
"Это полный провал",negative
"Сервис отвратительный",negative
"Очень плохо сделано приложение",negative
"Невозможно нормально работать",negative
"Очень плохое приложение",negative
"Сервис не работает вообще",negative
"Очень разочарован качеством",negative
"Это худшее что я видел",negative
"Сервис ужасен",negative
"Очень плохой опыт использования",negative
"Ничего не понятно и неудобно",negative
"Очень плохо работает сервис",negative
"Сервис не стоит внимания",negative
"Очень плохо реализовано всё",negative
"Постоянные ошибки и баги",negative
"Очень неудобный продукт",negative
"Сервис постоянно падает",negative
"Очень плохое решение",negative
"Сервис просто ужас",negative
"Очень плохой результат",negative
"Невозможно пользоваться сервисом",negative
"Сервис отвратительно работает",negative
"Очень плохое качество работы",negative
"Сервис крайне неудобный",negative
"Очень плохой функционал",negative
"Сервис не работает нормально",negative
"Очень плохо оптимизирован сервис",negative
"Сервис вызывает только негатив",negative
"Очень плохое впечатление",negative
"Сервис полностью разочаровал",negative
"Очень плохой пользовательский опыт",negative
"Сервис не оправдал ожиданий вообще",negative
"Очень неудобно и плохо",negative
"Сервис крайне плох",negative
"Очень плохая реализация",negative
"Сервис работает ужасно и медленно",negative
